ERROR:root:Указанный путь не является директорией
ERROR:root:Указанный путь не является директорией
INFO:root:Файл: D:\GB\Pogruzheniye v Python\animals.log, Расширение: .log, Флаг каталога: False, Родительский каталог: /n Pogruzheniye v Python
INFO:root:Файл: D:\GB\Pogruzheniye v Python\animals.py, Расширение: .py, Флаг каталога: False, Родительский каталог: /n Pogruzheniye v Python
INFO:root:Файл: D:\GB\Pogruzheniye v Python\directory_info.log, Расширение: .log, Флаг каталога: False, Родительский каталог: /n Pogruzheniye v Python
INFO:root:Файл: D:\GB\Pogruzheniye v Python\homework_15.md, Расширение: .md, Флаг каталога: False, Родительский каталог: /n Pogruzheniye v Python
INFO:root:Файл: D:\GB\Pogruzheniye v Python\rectangle.py, Расширение: .py, Флаг каталога: False, Родительский каталог: /n Pogruzheniye v Python
INFO:root:Файл: D:\GB\Pogruzheniye v Python\student_grades.py, Расширение: .py, Флаг каталога: False, Родительский каталог: /n Pogruzheniye v Python
INFO:root:Файл: D:\GB\Pogruzheniye v Python\subjects.csv, Расширение: .csv, Флаг каталога: False, Родительский каталог: /n Pogruzheniye v Python
INFO:root:Файл: D:\GB\Pogruzheniye v Python\task_6.py, Расширение: .py, Флаг каталога: False, Родительский каталог: /n Pogruzheniye v Python
INFO:root:Файл: D:\GB\Pogruzheniye v Python\animals.log, Расширение: .log, Флаг каталога: False, Родительский каталог: /n Pogruzheniye v Python
INFO:root:Файл: D:\GB\Pogruzheniye v Python\animals.py, Расширение: .py, Флаг каталога: False, Родительский каталог: /n Pogruzheniye v Python
INFO:root:Файл: D:\GB\Pogruzheniye v Python\directory_info.log, Расширение: .log, Флаг каталога: False, Родительский каталог: /n Pogruzheniye v Python
INFO:root:Файл: D:\GB\Pogruzheniye v Python\directory_info.txt, Расширение: .txt, Флаг каталога: False, Родительский каталог: /n Pogruzheniye v Python
INFO:root:Файл: D:\GB\Pogruzheniye v Python\homework_15.md, Расширение: .md, Флаг каталога: False, Родительский каталог: /n Pogruzheniye v Python
INFO:root:Файл: D:\GB\Pogruzheniye v Python\rectangle.py, Расширение: .py, Флаг каталога: False, Родительский каталог: /n Pogruzheniye v Python
INFO:root:Файл: D:\GB\Pogruzheniye v Python\student_grades.py, Расширение: .py, Флаг каталога: False, Родительский каталог: /n Pogruzheniye v Python
INFO:root:Файл: D:\GB\Pogruzheniye v Python\subjects.csv, Расширение: .csv, Флаг каталога: False, Родительский каталог: /n Pogruzheniye v Python
INFO:root:Файл: D:\GB\Pogruzheniye v Python\task_6.py, Расширение: .py, Флаг каталога: False, Родительский каталог: /n Pogruzheniye v Python
